,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
1,1,1,1,1,1,1,1,1
2,1.6657818991194777,1.6618316579918913,1.6787307789275037,1.6365805332976524,1.9212067828311408,1.8846115800571384,1.7529635995340977,1.8187275363417619
4,2.3684668195597918,2.389027124251656,2.4145597355627264,2.371146953053444,3.2429092435015705,3.225144672164674,2.7461771210194454,2.9117122976910856
8,3.2100857522759987,3.1904156132974526,3.2292412860131634,3.2470007573795234,5.453274139421141,5.460709840555193,3.960844396680837,4.471737357774726
11,3.5957295781833496,3.5159346133002254,3.6008942335400502,3.592419970239513,6.743145601175151,6.757967284710629,4.468522058213262,5.296284295635082
12,3.6228196782926805,3.6282211591307534,3.689215439757075,3.68682253672546,7.1667037319512525,7.168858534987611,4.755425431259368,5.496479676017707
13,3.714043453138438,3.6576542409500967,3.746219202494032,3.770915641829826,7.42745813867756,7.527379918051181,4.8888520194540925,5.745006231752408
16,3.720644359005156,3.8080780241575085,3.9066401436243336,3.881973715924065,8.36260408046368,8.44869529649616,5.180267687016487,6.19428176749011
20,3.8319827756366363,3.979015928804552,4.028430473268415,4.0601744022247575,9.300007854485978,9.40772528626663,5.595030784166979,6.676559974860792
24,4.052642742199659,4.175603472113205,4.190205623798303,4.301751265629013,10.269373435772291,10.262548353992356,5.894590026148016,7.081077177302516
