,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
1,0.0,134.4013653551219,132.73353826776182,132.86033235619715,898.828701782198,897.1156788066799,905.86783552162,885.99967110122
2,0.0,70.84380308103903,74.74246173339453,68.45227658408858,455.7487552787279,534.2804606249119,510.29660086639996,453.69384908678
4,0.0,39.51320698601428,38.485290566369095,39.87578035763428,278.31845756036796,350.280448064508,312.81531424504004,262.11373367301996
8,0.0,22.95901813507524,28.618141967596365,22.88515008517857,196.19673109999601,193.473398170492,230.91912302972,174.68136761198
11,0.0,16.644848925713333,15.981929956787274,23.411678947724283,109.64824670293999,119.275853328736,204.31118111584,154.76026158347
12,0.0,16.370661379042858,15.818325272474546,23.140476897794287,109.21885012159001,119.441073808712,195.73328804954,140.94961597915997
13,0.0,16.53444277445905,15.674756366554545,23.157283347002863,109.06432812698002,117.27129666328001,190.06687150004,142.30755870334
16,0.0,16.716646437426668,15.722518717143636,13.05128123420286,112.641243667712,91.05507056240401,176.00843753836,125.47286064624
20,0.0,16.29006580852857,15.581182557883638,12.937979970651428,68.385519990894,77.773135643008,164.19595775578,111.40464305873002
24,0.0,9.595155704589525,9.649299738634546,12.888708009050001,67.77638499738,77.515276956552,156.99471859914,103.77054288378001
48,0.0,6.196598420829524,6.515938719832726,6.495478466577143,45.652136440272,54.44316167838,137.22667121866002,85.41917591093
72,0.0,5.092897610446666,5.504538739812728,5.205142954415715,37.21740344047601,47.39020297048,132.5434209345,79.02610862272
96,0.0,4.5635211354209515,4.944866501201817,4.81647495883,34.092798852916005,43.920437517147995,130.1636755943,75.27218108181
120,0.0,4.234208783649525,4.646330191872727,4.4703739540928575,31.776967568392003,42.07815914152,127.3103143213,74.56086347104001
