,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
1,14.587766311574402,563.2989235514285,565.0836568354546,561.2609212568572,1256.9521016499998,1241.21112442,1321.70937095,1299.923489712
2,8.7541456272128,339.7816419034286,337.4158465470909,343.7401704685714,660.0798260736,664.6304811955999,759.2424928664001,720.211101865
4,6.1545755087264,237.01533512609527,235.387087822,237.9404514617143,396.0954838658,393.31122757919997,488.8414127827999,454.51777667990007
8,4.5387397846208,177.98531840180954,176.4241325898182,174.29945740357144,240.4505081274,237.29970618280004,342.655321026,300.09297413829995
11,4.0512485178368,161.70451858838095,158.42273735563637,157.7307733808572,196.86855645199998,194.16224292756002,305.4348366258,255.21794664860005
12,4.020824426268799,156.77639090685716,154.69164884745453,153.75551383142857,185.87792883400002,183.67807874680003,287.3976917744,246.4562353134
13,3.9217275539423992,155.5240934167619,152.37319747745457,150.36831245071428,179.92536265860002,175.593894558,279.90224661839994,236.2253079176
16,3.914529439087999,149.442089376,146.18959062763633,146.12898478857144,161.24937996399998,157.92533517835997,264.99158139220003,220.2985230208
20,3.8007243803392003,143.10433585533332,141.81832736618182,139.78354397828573,146.40345440380003,143.15796583176,246.36348543179997,205.10927886960002
24,3.5934900261728,136.46582808952382,136.4288561170909,132.07431118828572,133.95222077379998,132.235500145,234.22756242760002,193.9501120091
