,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
1,0.0,135.66916713928094,133.40829952846548,136.7672773395643,898.505547289758,890.404522991104,910.1779805179801,878.22863805268
2,0.0,72.88778496468096,75.25236892266182,69.58291370188857,454.370665998656,530.342283802152,518.5133679391,454.7574922085001
4,0.0,40.40543387957429,39.60272800705455,40.31731759140571,273.11525674808195,350.857905120888,316.36450443284,262.74336833955005
8,0.0,23.73364391553524,28.999812316905455,23.063141465192853,196.980629444136,195.64094284064,230.85946965224002,176.81387224205002
11,0.0,16.673464359553332,16.158488572732725,23.454761259887142,110.51679227844201,122.376148691164,203.09353442196002,156.66300380234
12,0.0,16.70411408289143,16.14006168625273,23.320876169184285,112.54551645754,121.04131983758398,198.54261422154,142.08501029008
13,0.0,16.779446247647616,15.95741148862727,23.26674869741,108.78668008348,117.44791744233999,191.90851378457998,142.73500659474004
16,0.0,16.7704934438,16.033698554461818,13.179488386427142,109.961285672192,93.32423360824,179.60728096987998,125.86846017837999
20,0.0,16.372419677465714,15.815265976303635,12.983393025407143,69.265425844206,79.50225887298001,166.71830344194004,113.44341599935997
24,0.0,9.662899135399048,9.827828086510909,12.941089146474287,68.88181682586,77.546768083596,158.56433219918,105.30467340959
48,0.0,6.300328677039998,6.561602054943635,6.578960336957143,46.01479087830601,55.23158185006,139.17328581811998,85.65076375006997
72,0.0,5.181132709411429,5.529893862118182,5.2531543595457135,37.427125892646,48.104324140524,134.80953617065998,80.25254907605
96,0.0,4.642610661188572,4.9957742170854536,4.8490777424414295,34.53982103825199,44.59487973217599,131.49964485188005,76.50845971109001
120,0.0,4.236874564489524,4.654816076974545,4.483809345108573,32.003995790514,42.60264932631599,129.54985527982,75.49855768679001
