,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
1,1,1,1,1,1,1,1,1
2,0,1.8613429836703337,1.7728119584590292,1.9655296115582503,1.977472611078321,1.6789242536114202,1.7553606845964318,1.9312021310250875
4,0,3.3576960847304322,3.368664388592146,3.392271249928553,3.2898401868429055,2.537792394001541,2.876991469538261,3.3425339851688376
8,0,5.716322686145826,4.600315963103494,5.93012350663395,4.561390375415444,4.551217705571916,3.9425629015307266,4.966966827412872
11,0,8.136831327530748,8.25623627655315,5.831109335291626,8.130036429450596,7.275964577363713,4.48157044047959,5.605845775565056
12,0,8.121901375077117,8.265662307975921,5.864585719137161,7.9834859314785485,7.356203023776255,4.584295336729954,6.181008371394654
13,0,8.085437691860719,8.36027194157051,5.878229017653374,8.259334199740895,7.5812712765063734,4.742770201116079,6.1528608783841525
16,0,8.089754042951993,8.320494430858622,10.377282738866683,8.171108056778388,9.540978677937801,5.067600687472221,6.9773526807912
20,0,8.286445730804841,8.435412956592327,10.534016575784545,12.971919775830228,11.19973866923322,5.459376455536877,7.741556707509891
24,0,14.040213525801047,13.574545500197928,10.568451835201648,13.044161560971428,11.482161603836811,5.740118019572418,8.339882833468819
48,0,21.53366500285833,20.331665713856136,20.78858517679117,19.52645073767715,16.121293165354754,6.539890002363352,10.253599613137863
72,0,26.185232988307842,24.12492949319727,26.03526718971033,24.00680057204991,18.50986452673202,6.751584541955213,10.94331143575815
96,0,29.222602763882804,26.70422916075983,28.20480194460736,26.013613281165686,19.96651921338542,6.921524248549842,11.478843534022676
120,0,32.02104878826568,28.660272999481396,30.502473859368028,28.0747926968568,20.900214823989693,7.025696621212348,11.632389610620917
