,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
1,0,2849.0525099249,1467.4912948131202,1914.7418827539002,8985.05547289758,4452.02261495552,910.1779805179801,1756.45727610536
2,0,1530.6434842583,827.77605814928,974.16079182644,4543.70665998656,2651.71141901076,518.5133679391,909.5149844170002
4,0,848.51411147106,435.63000807760005,564.44244627968,2731.1525674808195,1754.28952560444,316.36450443284,525.4867366791001
8,0,498.40652222624004,318.99793548596,322.88398051269996,1969.80629444136,978.2047142032001,230.85946965224002,353.62774448410005
11,0,350.14275155061995,177.74337430006,328.36665763842,1105.1679227844202,611.88074345582,203.09353442196002,313.32600760468
12,0,350.78639574072,177.54067854878002,326.49226636858,1125.4551645754,605.2065991879199,198.54261422154,284.17002058016
13,0,352.36837120059994,175.53152637489998,325.73448176374,1087.8668008348,587.2395872116999,191.90851378457998,285.4700131894801
16,0,352.1803623198,176.37068409908,184.51283740998,1099.61285672192,466.62116804119995,179.60728096987998,251.73692035675998
20,0,343.82081322678,173.96792573934,181.7675023557,692.65425844206,397.51129436490004,166.71830344194004,226.88683199871994
24,0,202.92088184338,108.10610895162,181.17524805064002,688.8181682586,387.73384041798005,158.56433219918,210.60934681918
48,0,132.30690221783996,72.17762260437999,92.1054447174,460.1479087830601,276.1579092503,139.17328581811998,171.30152750013994
72,0,108.80378689764001,60.8288324833,73.54416103364,374.27125892646,240.52162070262,134.80953617065998,160.5050981521
96,0,97.49482388496001,54.95351638793999,67.88708839418001,345.39821038251995,222.97439866087996,131.49964485188005,153.01691942218002
120,0,88.97436585428,51.20297684672,62.77333083152001,320.03995790513994,213.01324663157996,129.54985527982,150.99711537358002
