,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
8,0.0,23.56150791304857,28.893087590818183,23.426155900945712,201.666409931156,203.587530803528,235.72956848116,177.64697389612002
11,0.0,17.01173929032381,16.266454531945456,23.914879836362864,113.15448638930198,124.78956129070798,206.88632683752,156.65895519251
12,0.0,16.78710878235905,16.14109862937091,23.579535068785713,111.83312039361999,124.41883161538799,197.95744428658,144.80078248981
13,0.0,16.768311436970475,16.09858050782364,23.65206077438429,112.16937151893201,121.44946091653199,192.91017937654,143.48678188328998
16,0.0,16.939345829818098,16.044141678390908,13.141210058751428,110.156646780958,93.412974386244,179.68626894969998,128.00339341168
20,0.0,16.32189550853905,15.996831568790908,13.295858516011426,70.248435325622,79.32079765320401,167.79915595032003,113.20048508644
24,0.0,9.727803968245713,9.949275307236363,13.25275442939857,70.104839434634,80.052025308616,161.26940045374002,106.63071706310001
48,0.0,6.309261299320001,6.670104980465456,6.523400313514286,46.312496109026,55.131107826236,140.58273515684002,86.86129918091002
72,0.0,5.209645416624761,5.562665479834545,5.278164686474286,37.622080678943995,47.988052768716,134.51010384546,80.41359121808999
96,0.0,4.6039456185838095,5.026197979667272,4.872724614827144,34.751790523542,44.855509881984,132.31544227589998,76.53189902291999
120,0.0,4.315606855210476,4.692052130267272,4.485156209128571,32.596536045083994,42.684204006171996,130.24611578004001,75.82719137669
