,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0,1.3850146367132627,1.7762375651114055,0.9795640229530219,1.7822219548355642,1.6314468029040778,1.139415891250717,1.133972671257886
12,0,1.4035476995186023,1.790032280593547,0.9934952420650973,1.8032798264176928,1.6363080102927805,1.1908093142478535,1.2268371126283208
13,0,1.4051210822039346,1.7947599527036948,0.9904488291488227,1.7978741184006601,1.6763148166087511,1.2219654206066604,1.2380720479229608
16,0,1.3909337556337962,1.8008496914317895,1.7826483098750099,1.8307239356346916,2.1794352673295063,1.311895282032643,1.3878301907573503
20,0,1.443552184286562,1.8061756458814808,1.7619137472570847,2.8707601670609937,2.5666349409851716,1.4048316700171721,1.5693128325419154
24,0,2.4220788155230055,2.904039409765202,1.7676443056229503,2.876640351187031,2.543190256819347,1.4617129338729005,1.6660018687766611
48,0,3.734432098348499,4.3317290620517275,3.5910958664325134,4.354470755720129,3.6927886783121022,1.6768031168135273,2.0451797932025686
72,0,4.5226701682729225,5.194108417189518,4.438314696958412,5.360320489770863,4.242462843506941,1.7525045460673498,2.209166027846251
96,0,5.117677284879871,5.74849771292353,4.807609243843291,5.803050918902741,4.538740755353624,1.7815726148549171,2.3212147635709104
120,0,5.459604802648191,6.157878640016804,5.223041251777766,6.186743574600469,4.769622288706378,1.8098779151253976,2.3427872069481714
