,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
8,0,494.79166617401995,317.823963499,327.96618261324,2016.66409931156,1017.93765401764,235.72956848116,355.29394779224003
11,0,357.2465250968,178.9309998514,334.8083177090801,1131.5448638930197,623.9478064535399,206.88632683752,313.31791038502
12,0,352.52928442954004,177.55208492308,330.113490963,1118.3312039362,622.09415807694,197.95744428658,289.60156497962
13,0,352.13454017637997,177.08438558606005,331.12885084138003,1121.69371518932,607.2473045826599,192.91017937654,286.97356376657996
16,0,355.72626242618,176.4855584623,183.97694082252,1101.56646780958,467.06487193122,179.68626894969998,256.00678682336
20,0,342.75980567932004,175.9651472567,186.14201922415998,702.48435325622,396.60398826602005,167.79915595032003,226.40097017288
24,0,204.28388333315996,109.44202837959999,185.53856201157998,701.04839434634,400.26012654308,161.26940045374002,213.26143412620002
48,0,132.49448728572003,73.37115478512001,91.3276043892,463.12496109026,275.65553913118,140.58273515684002,173.72259836182005
72,0,109.40255374911999,61.18932027818,73.89430561064,376.22080678943996,239.94026384358,134.51010384546,160.82718243617998
96,0,96.68285799025999,55.28817777633999,68.21814460758002,347.51790523542,224.27754940992,132.31544227589998,153.06379804583997
120,0,90.62774395941999,51.612573432939996,62.7921869278,325.96536045083997,213.42102003085998,130.24611578004001,151.65438275338
