,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0,1.3946780356386572,1.809057645608513,0.9776096457112168,1.7775935391160964,1.6232799061487235,1.1459576904783206,1.1331340361762174
12,0,1.4023113803985865,1.7940614890698243,0.9900284744765037,1.7661471253580756,1.6316189834132875,1.1688340208046328,1.2478368498256656
13,0,1.3858855907845842,1.7923591473907392,0.9969096226992953,1.7978443812023122,1.6552274825786217,1.2140333601742543,1.233341331108645
16,0,1.4071221227928006,1.8079944375398014,1.7433893961156985,1.8420357358161863,2.1228824036650056,1.3023623294966447,1.411414655453264
20,0,1.4297502969695184,1.8506751593126247,1.7803332464074622,2.8748228043657704,2.514685974417026,1.3981450909666833,1.5806718532559714
24,0,2.3833591022675487,2.9277340601790414,1.7817727827088907,2.8987108755937427,2.551851769327279,1.4603647429584006,1.680893772970163
48,0,3.7150520720491444,4.400350005044114,3.5388338109653614,4.305816130255928,3.609467366267204,1.6683916825347611,2.0665090471468326
72,0,4.517345954913933,5.202482111312367,4.420334730736404,5.380212709199746,4.180618891137783,1.7417635526163087,2.2231586873722
96,0,5.081235800799462,5.797827891243233,4.774807967018683,5.807555172201279,4.467650610392049,1.7699010134274402,2.3480797161464824
120,0,5.461129708185478,6.1764686578468035,5.16693420316065,6.269315698577045,4.714673472953542,1.791809928486515,2.3673009042144146
