,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
8,0,489.5137712956601,317.55818762783997,324.31252012246,1997.59261689344,991.88707256368,232.10676102646002,354.45412592898
11,0,350.98693661688003,175.53790416724,331.74030303938,1123.7623072633003,611.0388410566601,202.54391846663998,312.80864806169996
12,0,349.07637357726,177.00518603322,327.57898230548005,1131.0454198363798,607.9158692360201,198.5797443393,284.05486340502006
13,0,353.21369566915996,177.17330150608004,325.31787509918,1111.10429677876,599.24516901958,191.18647694586,287.39337358488
16,0,347.8829330919,175.64113087646,186.02414402946,1084.44835138246,467.2359951975001,178.2198054793,251.13394179342
20,0,342.37710762028,171.59045228974003,182.16394081101998,694.8576496123,394.43774795524,166.01049671174002,224.24270110134003
24,0,205.38817286489999,108.46551671036,182.01676626207998,689.1313768863799,388.69305987359996,158.93752717985998,210.87241301552004
48,0,131.76498250955999,72.16657476424001,91.64389667510001,463.92891764625995,274.80150723442,139.120066023,171.5231425763
72,0,108.36313538554,61.03974618909999,73.36831707956,371.28506340980005,237.25842952734,133.25962681778,159.43716835973999
96,0,96.33754277229998,54.77192382814001,67.92158393858,343.96446657196,222.01536312094,131.14109730746,150.9548945428
120,0,89.63599061966,51.41419882774,62.76691503524,318.63008866292,210.38298373234,129.53760180496,149.72922339444003
