,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
1,1,4.176293763745,4.24225164511949,4.20935458121178,1.38488054088766,1.36989973879888,1.4457847970605,1.4536514336081
2,0,7.9230583277599,7.53372391034531,8.17001678502064,2.73126446155229,2.30021238776394,2.56652688361949,2.83877485812297
4,0,14.2053664277385,14.6312802318039,14.0249606063899,4.47246794050476,3.50849880677132,4.18678333541347,4.91364826262501
8,0,24.4478914851281,19.6759479254983,24.4375171927353,6.34450111227926,6.35208016032607,5.6716391763479,7.37305134302292
11,0,33.7221194662993,35.2328581467602,23.8879172191638,11.352396560082,10.3034981496424,6.41027053727762,8.32212790864238
12,0,34.2869216444709,35.5972621234926,24.1678791295,11.3970287849004,10.2892455240134,6.69119676981964,9.1375537501501
13,0,33.9472936359522,35.9233061051217,24.1503392381845,11.4131760591807,10.4796192166131,6.89067976132276,9.05036038709279
16,0,33.5772839410375,35.814177181736,42.8506779241921,11.0507513780788,13.4968709208499,7.4410634118482,10.2646475535758
20,0,34.4565571783966,36.1390458642715,43.2259324820025,18.2022506936444,15.8018385642927,7.97638360069285,11.5608708641849
24,0,58.4982256935059,58.355433692707,43.3911799594023,18.3658420073245,15.8544042196803,8.34225479958556,12.4113708599852
48,0,90.5818879733486,86.4171833545726,86.0993153225838,27.2664211524481,22.5732396169358,9.54398975878655,15.0778168758684
72,0,110.212226301204,102.295414328958,107.443014257743,33.445922165965,25.9327552328734,9.88121428818771,16.2975846149953
96,0,122.997038320856,113.873462699567,116.113185149982,36.5112405132738,27.9814729438845,10.0618697095291,17.1103676492752
120,0,132.563038964653,121.190067822534,125.102788806482,39.1720945685085,29.2065660462078,10.2873828544475,17.2736021568853
