,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
1,1,1,1,1,1,1,1,1
2,0,1.8971506258829534,1.7758785995197852,1.9409191189278858,1.9722022087202196,1.6791100272643023,1.7751790507395209,1.9528580184294078
4,0,3.4014289298940814,3.448942084479229,3.331855355923105,3.2294972804210795,2.561135466634627,2.8958551396624386,3.380210791268501
8,0,5.853968343262579,4.638090705471124,5.805525935451188,4.5812623724301,4.636894205042734,3.9228792472290483,5.072090304841741
11,0,8.074652161456129,8.305225878642522,5.674959606821011,8.197383257913032,7.521352006882237,4.433765350355508,5.7249817364993
12,0,8.209892211635248,8.39112459640284,5.741469069242094,8.229611470744835,7.510947869100993,4.628072437491293,6.285931784533695
13,0,8.12856938624707,8.4679809474409,5.737302185465232,8.241271158207853,7.649916939032062,4.766048014429644,6.225949479944422
16,0,8.039971764564726,8.442256654656155,10.179868931796253,7.979570115842412,9.852451634660449,5.1467296010976264,7.061285337226991
20,0,8.250510890186634,8.518835959636608,10.269016697937245,13.143552931993252,11.535032905508585,5.516992305431659,7.952986938202755
24,0,14.007210460465531,13.755769005321074,10.30827389858683,13.26167959263309,11.573404805216928,5.770052926650377,8.538065297523922
48,0,21.68953936135979,20.370593397963894,20.454279548433206,19.688644866777732,16.478023155714975,6.601251983138104,10.372374372062398
72,0,26.389960222140495,24.113471544443634,25.524819110585007,24.15076331748258,18.93040380868395,6.834498680770278,11.211480440357848
96,0,29.451242005198765,26.842693980818655,27.584557895941202,26.36418047283085,20.425927643740255,6.959451870006111,11.770612440979571
120,0,31.741789841378456,28.567392498263857,29.720183081005263,28.28554045780779,21.320221633019692,7.115431615661806,11.882905184505391
