,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
1,9122.497549435759,11787.291263399582,6193.979781868379,7829.5874813083,12447.703786894801,6144.792670348241,1309.68994474326,2575.86938414518
2,5476.405737304419,7092.951447105659,3689.68023915398,4784.11377992622,6479.1067250718,3260.5088153824995,747.12900204622,1416.3030650134401
4,3851.64675903346,4933.92944087726,2565.26259865956,3302.0254064075402,3838.437295721,1905.2765984057198,476.9138649939201,884.65793347364
8,2841.8236313368798,3694.5942761409797,1918.0913512707798,2411.3291207320603,2282.6110458874,1125.27360906682,330.65927705738,576.0332457063201
11,2537.0366016358403,3352.53426466184,1720.1226640247799,2179.4744339944996,1845.9787943367999,909.26641273484,293.09242019652004,486.35406265257996
12,2518.06558413498,3248.77970399786,1678.9422800085201,2123.66811890608,1736.8799175274,857.1507779597802,275.40962710384,468.63984513291996
13,2456.2172372342798,3222.6368286625598,1653.3949155310397,2076.30937018496,1675.9035937308,816.32556576726,267.89314537066,448.36668233856005
16,2451.85958914788,3095.3386954321604,1585.5004694960198,2016.9089371189998,1488.4961271782001,727.30669703482,252.82283153548,415.8463371273
20,2380.62070827554,2962.36342711524,1537.56650957984,1928.3869867802,1338.461642362,653.16455183044,234.08091845526,385.80787019723994
24,2250.9996882884197,2822.89526343224,1478.2042548675,1820.0930267323201,1212.1191097729998,598.75894937516,222.18507800094,363.7680143357
