,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
1,0,2822.42867245756,1460.0689209453801,1860.04465298676,8988.28701782198,4485.5783940333995,905.86783552162,1771.99934220244
2,0,1487.7198647018197,822.16707906734,958.33187217724,4557.487552787279,2671.4023031245597,510.29660086639996,907.38769817356
4,0,829.7773467062999,423.33819623006,558.2609250068799,2783.1845756036796,1751.40224032254,312.81531424504004,524.2274673460399
8,0,482.13938083658,314.79956164356,320.3921011925,1961.96731099996,967.36699085246,230.91912302972,349.36273522396
11,0,349.54182743998,175.80122952466002,327.76350526813997,1096.4824670294,596.37926664368,204.31118111584,309.52052316694
12,0,343.7838889599,174.00157799722,323.96667656912,1092.1885012159,597.20536904356,195.73328804954,281.89923195831994
13,0,347.22329826364,172.4223200321,324.20196685804007,1090.6432812698001,586.3564833164,190.06687150004,284.61511740668
16,0,351.04957518596,172.94770588858,182.71793727884003,1126.41243667712,455.27535281202006,176.00843753836,250.94572129248
20,0,342.0913819791,171.39300813672003,181.13171958912,683.85519990894,388.86567821504,164.19595775578,222.80928611746003
24,0,201.49826979638001,106.14229712498,180.4419121267,677.7638499738001,387.57638478276,156.99471859914,207.54108576756002
48,0,130.12856683742,71.67532591815998,90.93669853208,456.52136440272005,272.2158083919,137.22667121866002,170.83835182186
72,0,106.95084981938,60.549926137940005,72.87200136182001,372.1740344047601,236.9510148524,132.5434209345,158.05221724544
96,0,95.83394384383999,54.39353151321999,67.43064942362,340.92798852916,219.60218758573998,130.1636755943,150.54436216362
120,0,88.91838445664001,51.1096321106,62.5852353573,317.76967568392,210.39079570759998,127.3103143213,149.12172694208002
