,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
8,0.0,23.310179585507623,28.86892614798545,23.165180008747143,199.759261689344,198.377414512736,232.10676102646002,177.22706296449
11,0.0,16.71366364842286,15.957991287930907,23.695735931384288,112.37623072633002,122.20776821133202,202.54391846663998,156.40432403084998
12,0.0,16.62268445606,16.091380548474547,23.39849873610572,113.10454198363797,121.58317384720401,198.5797443393,142.02743170251003
13,0.0,16.819699793769523,16.106663773280005,23.236991078512858,111.110429677876,119.849033803916,191.18647694586,143.69668679244
16,0.0,16.56585395675714,15.967375534223637,13.287438859247143,108.444835138246,93.44719903950002,178.2198054793,125.56697089671
20,0.0,16.303671791441907,15.599132026340003,13.01171005793,69.48576496122999,78.887549591048,166.01049671174002,112.12135055067002
24,0.0,9.780389184042857,9.860501519123638,13.00119759014857,68.91313768863799,77.73861197471999,158.93752717985998,105.43620650776002
48,0.0,6.274522976645714,6.560597705840001,6.545992619650001,46.39289176462599,54.960301446884,139.120066023,85.76157128815
72,0.0,5.160149304073333,5.5490678353727265,5.240594077111429,37.12850634098,47.451685905468004,133.25962681778,79.71858417986999
96,0.0,4.58750203677619,4.979265802558182,4.851541709898571,34.396446657195995,44.403072624188,131.14109730746,75.4774472714
120,0.0,4.2683805056980955,4.674018075249091,4.483351073945714,31.863008866292,42.076596746468,129.53760180496,74.86461169722001
